3429,601007.SH,601007,金陵饭店,江苏,酒店餐饮,20070406
3430,601008.SH,601008,连云港,江苏,港口,20070426
3431,601009.SH,601009,南京银行,江苏,银行,20070719
3432,601010.SH,601010,文峰股份,江苏,超市连锁,20110603
3433,601011.SH,601011,宝泰隆,黑龙江,焦炭加工,20110309
3434,601012.SH,601012,隆基股份,陕西,电气设备,20120411
3435,601015.SH,601015,陕西黑猫,陕西,焦炭加工,20141105
3436,601016.SH,601016,节能风电,北京,新型电力,20140929
3437,601018.SH,601018,宁波港,浙江,港口,20100928
3438,601019.SH,601019,山东出版,山东,出版业,20171122
3440,601021.SH,601021,春秋航空,上海,空运,20150121
3441,601028.SH,601028,玉龙股份,山东,商贸代理,20111107
3442,601038.SH,601038,一拖股份,河南,农用机械,20120808
3443,601058.SH,601058,赛轮轮胎,山东,汽车配件,20110630
3444,601066.SH,601066,中信建投,北京,证券,20180620
3445,601068.SH,601068,中铝国际,北京,建筑工程,20180831
3446,601069.SH,601069,西部黄金,新疆,黄金,20150122
3447,601077.SH,601077,渝农商行,重庆,银行,20191029
3448,601086.SH,601086,国芳集团,甘肃,百货,20170929
3449,601088.SH,601088,中国神华,北京,煤炭开采,20071009
3450,601098.SH,601098,中南传媒,湖南,出版业,20101028
3451,601099.SH,601099,太平洋,云南,证券,20071228
3452,601100.SH,601100,恒立液压,江苏,工程机械,20111028
3453,601101.SH,601101,昊华能源,北京,煤炭开采,20100331
3454,601106.SH,601106,中国一重,黑龙江,工程机械,20100209
3455,601107.SH,601107,四川成渝,四川,路桥,20090727
3456,601108.SH,601108,财通证券,浙江,证券,20171024
3457,601111.SH,601111,中国国航,北京,空运,20060818
3459,601116.SH,601116,三江购物,浙江,超市连锁,20110302
3460,601117.SH,601117,中国化学,北京,建筑工程,20100107
3461,601118.SH,601118,海南橡胶,海南,橡胶,20110107
3462,601126.SH,601126,四方股份,北京,电气设备,20101231
3463,601127.SH,601127,小康股份,重庆,汽车整车,20160615
3464,601128.SH,601128,常熟银行,江苏,银行,20160930
3465,601137.SH,601137,博威合金,浙江,小金属,20110127
3466,601138.SH,601138,工业富联,深圳,通信设备,20180608
3467,601139.SH,601139,深圳燃气,深圳,供气供热,20091225
3468,601155.SH,601155,新城控股,江苏,区域地产,20151204
3469,601156.SH,601156,东航物流,上海,空运,20210609
3470,601158.SH,601158,重庆水务,重庆,水务,20100329
3471,601162.SH,601162,天风证券,湖北,证券,20181019
3472,601163.SH,601163,三角轮胎,山东,汽车配件,20160909
3473,601166.SH,601166,兴业银行,福建,银行,20070205
3474,601168.SH,601168,西部矿业,青海,铜,20070712
3475,601169.SH,601169,北京银行,北京,银行,20070919
3476,601177.SH,601177,杭齿前进,浙江,机械基件,20101011
3477,601179.SH,601179,中国西电,陕西,电气设备,20100128
3478,601186.SH,601186,中国铁建,北京,建筑工程,20080310
3479,601187.SH,601187,厦门银行,福建,银行,20201027
3480,601188.SH,601188,龙江交通,黑龙江,路桥,20100319
3481,601198.SH,601198,东兴证券,北京,证券,20150226
3482,601199.SH,601199,江南水务,江苏,水务,20110317
3483,601200.SH,601200,上海环境,上海,环境保护,20170331
3484,601208.SH,601208,东材科技,四川,化工原料,20110520
3485,601211.SH,601211,国泰君安,上海,证券,20150626
3486,601212.SH,601212,白银有色,甘肃,铜,20170215
3487,601216.SH,601216,君正集团,内蒙,化工原料,20110222
3488,601218.SH,601218,吉鑫科技,江苏,电气设备,20110506
3489,601222.SH,601222,林洋能源,江苏,电器仪表,20110808
3490,601225.SH,601225,陕西煤业,陕西,煤炭开采,20140128
3491,601226.SH,601226,华电重工,北京,建筑工程,20141211
3492,601228.SH,601228,广州港,广东,港口,20170329
3493,601229.SH,601229,上海银行,上海,银行,20161116
3494,601231.SH,601231,环旭电子,上海,元器件,20120220
3495,601233.SH,601233,桐昆股份,浙江,化纤,20110518
3496,601236.SH,601236,红塔证券,云南,证券,20190705
3497,601238.SH,601238,广汽集团,广东,汽车整车,20120329
3498,601258.SH,601258,庞大集团,河北,汽车服务,20110428
3499,601279.SH,601279,英利汽车,吉林,汽车配件,20210415
3500,601288.SH,601288,农业银行,北京,银行,20100715
3501,601298.SH,601298,青岛港,山东,港口,20190121
3502,601311.SH,601311,骆驼股份,湖北,电气设备,20110602
3503,601318.SH,601318,中国平安,深圳,保险,20070301
3504,601319.SH,601319,中国人保,北京,保险,20181116
3505,601326.SH,601326,秦港股份,河北,港口,20170816
3506,601328.SH,601328,交通银行,上海,银行,20070515
3507,601330.SH,601330,绿色动力,深圳,环境保护,20180611
3508,601333.SH,601333,广深铁路,深圳,铁路,20061222
3509,601336.SH,601336,新华保险,北京,保险,20111216
3510,601339.SH,601339,百隆东方,浙江,纺织,20120612
3511,601360.SH,601360,三六零,天津,互联网,20120116
3512,601366.SH,601366,利群股份,山东,百货,20170412
3513,601368.SH,601368,绿城水务,广西,水务,20150612
3514,601369.SH,601369,陕鼓动力,陕西,机械基件,20100428
3515,601375.SH,601375,中原证券,河南,证券,20170103
3516,601377.SH,601377,兴业证券,福建,证券,20101013
3517,601388.SH,601388,怡球资源,江苏,铝,20120423
3518,601390.SH,601390,中国中铁,北京,建筑工程,20071203
3519,601398.SH,601398,工商银行,北京,银行,20061027
3520,601399.SH,601399,国机重装,四川,工程机械,20200608
3521,601456.SH,601456,国联证券,江苏,证券,20200731
3522,601500.SH,601500,通用股份,江苏,汽车配件,20160919
3523,601512.SH,601512,中新集团,江苏,园区开发,20191220
3524,601515.SH,601515,东风股份,广东,广告包装,20120216
3525,601518.SH,601518,吉林高速,吉林,路桥,20100319
3526,601519.SH,601519,大智慧,上海,软件服务,20110128
3527,601528.SH,601528,瑞丰银行,浙江,银行,20210625
3528,601555.SH,601555,东吴证券,江苏,证券,20111212
