code,plate_name,plate_id
SH.BK0001,白色家电,BK0001
SH.BK0002,半导体,BK0002
SH.BK0003,包装印刷,BK0003
SH.BK0004,物流,BK0004
SH.BK0005,航海装备Ⅱ,BK0005
SH.BK0006,电力,BK0006
SH.BK0007,玻璃玻纤,BK0007
SH.BK0008,多元金融,BK0008
SH.BK0011,养殖业,BK0011
SH.BK0013,纺织制造,BK0013
SH.BK0014,地面兵装Ⅱ,BK0014
SH.BK0017,电机Ⅱ,BK0017
SH.BK0020,其他电源设备Ⅱ,BK0020
SH.BK0022,消费电子,BK0022
SH.BK0025,动物保健Ⅱ,BK0025
SH.BK0026,房地产开发,BK0026
SH.BK0027,化学纤维,BK0027
SH.BK0028,房屋建设Ⅱ,BK0028
SH.BK0031,工业金属,BK0031
SH.BK0032,光学光电子,BK0032
SH.BK0033,航空装备Ⅱ,BK0033
SH.BK0035,航天装备Ⅱ,BK0035
SH.BK0039,化学原料,BK0039
SH.BK0040,贸易Ⅱ,BK0040
SH.BK0041,化学制品,BK0041
SH.BK0042,化学制药,BK0042
SH.BK0044,贵金属,BK0044
SH.BK0045,基础建设,BK0045
SH.BK0047,证券Ⅱ,BK0047
SH.BK0048,汽车零部件,BK0048
SH.BK0049,计算机设备,BK0049
SH.BK0051,家居用品,BK0051
SH.BK0052,金属新材料,BK0052
SH.BK0053,饲料,BK0053
SH.BK0055,食品加工,BK0055
SH.BK0057,水泥,BK0057
SH.BK0058,塑料,BK0058
SH.BK0059,生物制品,BK0059
SH.BK0061,通信设备,BK0061
SH.BK0063,林业Ⅱ,BK0063
SH.BK0065,橡胶,BK0065
SH.BK0066,农产品加工,BK0066
SH.BK0068,医疗服务,BK0068
SH.BK0071,医药商业,BK0071
SH.BK0073,综合Ⅱ,BK0073
SH.BK0074,中药Ⅱ,BK0074
SH.BK0075,专用设备,BK0075
SH.BK0076,造纸,BK0076
SH.BK0077,保险Ⅱ,BK0077
SH.BK0078,其他电子Ⅱ,BK0078
SH.BK0079,装修建材,BK0079
SH.BK0080,摩托车及其他,BK0080
SH.BK0082,汽车服务,BK0082
SH.BK0083,燃气Ⅱ,BK0083
SH.BK0086,黑色家电,BK0086
SH.BK0088,通信服务,BK0088
SH.BK0089,通用设备,BK0089
SH.BK0090,小金属,BK0090
SH.BK0091,一般零售,BK0091
SH.BK0092,医疗器械,BK0092
SH.BK0095,渔业,BK0095
SH.BK0096,元件,BK0096
SH.BK0099,轨交设备Ⅱ,BK0099
SH.BK0103,博彩概念,BK0103
SH.BK0104,保障房,BK0104
SH.BK0109,储能概念,BK0109
SH.BK0111,成渝特区,BK0111
SH.BK0113,财政扶持,BK0113
