ts_code,name,market,publisher,category,base_date,base_point,list_date
100000.CIC,中金综合,CICC,中金公司,其他,,,
100101.CIC,中金能源,CICC,中金公司,其他,,,
100110.CIC,中金石油天然气,CICC,中金公司,其他,,,
100120.CIC,中金煤炭,CICC,中金公司,其他,,,
100201.CIC,中金基础材料,CICC,中金公司,其他,,,
100210.CIC,中金化工,CICC,中金公司,其他,,,
100211.CIC,中金化肥与农用药剂,CICC,中金公司,其他,,,
100220.CIC,中金钢铁,CICC,中金公司,其他,,,
100230.CIC,中金有色金属,CICC,中金公司,其他,,,
100240.CIC,中金建材,CICC,中金公司,其他,,,
100241.CIC,中金水泥,CICC,中金公司,其他,,,
100250.CIC,中金林业与造纸包装,CICC,中金公司,其他,,,
100251.CIC,中金造纸包装,CICC,中金公司,其他,,,
100301.CIC,中金工业,CICC,中金公司,其他,,,
100310.CIC,中金建筑与工程,CICC,中金公司,其他,,,
100320.CIC,中金机械,CICC,中金公司,其他,,,
100321.CIC,中金航天航空与国防,CICC,中金公司,其他,,,
100322.CIC,中金造船及港口机械,CICC,中金公司,其他,,,
100323.CIC,中金工程机械,CICC,中金公司,其他,,,
100324.CIC,中金铁路设备,CICC,中金公司,其他,,,
100325.CIC,中金商业汽车及零部件,CICC,中金公司,其他,,,
100330.CIC,中金电气设备,CICC,中金公司,其他,,,
100340.CIC,中金工业综合,CICC,中金公司,其他,,,
100401.CIC,中金交通运输,CICC,中金公司,其他,,,
100411.CIC,中金航空,CICC,中金公司,其他,,,
100412.CIC,中金航运,CICC,中金公司,其他,,,
100413.CIC,中金公路运输,CICC,中金公司,其他,,,
100414.CIC,中金铁路运输,CICC,中金公司,其他,,,
100420.CIC,中金交通基础设施,CICC,中金公司,其他,,,
100421.CIC,中金机场,CICC,中金公司,其他,,,
100422.CIC,中金港口,CICC,中金公司,其他,,,
100501.CIC,中金公用事业,CICC,中金公司,其他,,,
100510.CIC,中金电力,CICC,中金公司,其他,,,
100520.CIC,中金城市公用事业,CICC,中金公司,其他,,,
100601.CIC,中金金融,CICC,中金公司,其他,,,
100610.CIC,中金银行,CICC,中金公司,其他,,,
100611.CIC,中金国有银行,CICC,中金公司,其他,,,
100612.CIC,中金股份制银行,CICC,中金公司,其他,,,
100613.CIC,中金城市商业银行,CICC,中金公司,其他,,,
100620.CIC,中金保险,CICC,中金公司,其他,,,
100630.CIC,中金证券,CICC,中金公司,其他,,,
100701.CIC,中金房地产,CICC,中金公司,其他,,,
100801.CIC,中金通信,CICC,中金公司,其他,,,
100901.CIC,中金科技,CICC,中金公司,其他,,,
100910.CIC,中金软件及服务,CICC,中金公司,其他,,,
100920.CIC,中金技术硬件及设备,CICC,中金公司,其他,,,
100921.CIC,中金通信设备,CICC,中金公司,其他,,,
100930.CIC,中金电子元器件,CICC,中金公司,其他,,,
101001.CIC,中金医疗保健,CICC,中金公司,其他,,,
101101.CIC,中金可选消费,CICC,中金公司,其他,,,
101110.CIC,中金汽车及零部件,CICC,中金公司,其他,,,
101120.CIC,中金家庭耐用消费品,CICC,中金公司,其他,,,
101121.CIC,中金服装,CICC,中金公司,其他,,,
101122.CIC,中金家电及相关,CICC,中金公司,其他,,,
101130.CIC,中金酒店旅游及餐饮,CICC,中金公司,其他,,,
101140.CIC,中金传媒,CICC,中金公司,其他,,,
101150.CIC,中金零售,CICC,中金公司,其他,,,
101201.CIC,中金日常消费,CICC,中金公司,其他,,,
101210.CIC,中金食品饮料,CICC,中金公司,其他,,,
101211.CIC,中金酒类,CICC,中金公司,其他,,,
101220.CIC,中金家庭日用品,CICC,中金公司,其他,,,
101230.CIC,中金农业,CICC,中金公司,其他,,,




ts_code,name,market,publisher,category,base_date,base_point,list_date
801001.SI,申万50,SW,申万研究,其他,19991230,1000.0,
801002.SI,申万中小板,SW,申万研究,其他,20040705,1000.0,
801003.SI,申万A股,SW,申万研究,其他,19991230,1000.0,
801004.SI,申万股改指数,SW,申万研究,其他,20050815,1000.0,
801005.SI,申万创业板,SW,申万研究,其他,20091105,1000.0,20091106
801010.SI,农林牧渔(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
801011.SI,林业Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801012.SI,农产品加工(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801013.SI,农业综合Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801014.SI,饲料Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801015.SI,渔业(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801016.SI,种植业(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801017.SI,畜禽养殖Ⅱ(申万),SW,申万研究,二级行业指数,20111010,1000.0,
801018.SI,动物保健Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801020.SI,采掘(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
801021.SI,煤炭开采Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801022.SI,其他采掘Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801023.SI,石油开采Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801024.SI,采掘服务Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801030.SI,化工(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
801031.SI,化工新材料Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801032.SI,化学纤维(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801033.SI,化学原料(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801034.SI,化学制品(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801035.SI,石油化工(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801036.SI,塑料Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801037.SI,橡胶(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801040.SI,钢铁(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
801041.SI,钢铁Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801042.SI,金属制品Ⅱ(申万),SW,申万研究,其他,19991230,1000.0,
801050.SI,有色金属(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
801051.SI,金属非金属新材料(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801052.SI,有色金属冶炼与加工(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801053.SI,黄金Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
801054.SI,稀有金属(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
801055.SI,工业金属(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
801060.SI,建筑建材(申万),SW,申万研究,一级行业指数,19991230,1000.0,
801061.SI,建筑材料(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801062.SI,建筑装饰(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801070.SI,机械设备(申万),SW,申万研究,一级行业指数,19991230,1000.0,
801071.SI,电气设备(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801072.SI,通用机械(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801073.SI,仪器仪表Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801074.SI,专用设备(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801075.SI,金属制品Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801076.SI,运输设备Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
801080.SI,电子(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
801081.SI,半导体(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801082.SI,其他电子Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801083.SI,元件Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801084.SI,光学光电子(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801085.SI,电子制造Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801090.SI,交运设备(申万),SW,申万研究,一级行业指数,19991230,1000.0,
801091.SI,非汽车交运设备(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801092.SI,汽车服务Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801093.SI,汽车零部件Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801094.SI,汽车整车(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801100.SI,信息设备(申万),SW,申万研究,一级行业指数,19991230,1000.0,
801101.SI,计算机设备Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801102.SI,通信设备(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801110.SI,家用电器(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
801111.SI,白色家电(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801112.SI,视听器材(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801120.SI,食品饮料(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
801121.SI,食品加工(申万),SW,申万研究,其他,19991230,1000.0,
801122.SI,食品制造(申万),SW,申万研究,其他,19991230,1000.0,
801123.SI,饮料制造(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801124.SI,食品加工(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801130.SI,纺织服装(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
801131.SI,纺织制造(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801132.SI,服装家纺(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801140.SI,轻工制造(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
801141.SI,包装印刷Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801142.SI,家用轻工(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801143.SI,造纸Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801144.SI,其他轻工制造Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801150.SI,医药生物(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
801151.SI,化学制药(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801152.SI,生物制品Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801153.SI,医疗器械Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801154.SI,医药商业Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801155.SI,中药Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801156.SI,医疗服务Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801160.SI,公用事业(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
801161.SI,电力(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801162.SI,环保工程及服务Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801163.SI,燃气Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801164.SI,水务Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801170.SI,交通运输(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
801171.SI,港口Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801172.SI,公交Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801173.SI,航空运输Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801174.SI,机场Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801175.SI,高速公路Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801176.SI,航运Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801177.SI,铁路运输Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801178.SI,物流Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801180.SI,房地产(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
801181.SI,房地产开发Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801182.SI,园区开发Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801190.SI,金融服务(申万),SW,申万研究,一级行业指数,19991230,1000.0,
801191.SI,多元金融Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801192.SI,银行Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801193.SI,券商Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801194.SI,保险Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801200.SI,商业贸易(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
801201.SI,零售(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801202.SI,贸易Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801203.SI,一般零售(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
801204.SI,专业零售(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
801205.SI,商业物业经营(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
801210.SI,休闲服务(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
801211.SI,餐饮Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801212.SI,景点(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801213.SI,酒店Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801214.SI,旅游综合Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
801215.SI,其他休闲服务Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
801220.SI,信息服务(申万),SW,申万研究,一级行业指数,19991230,1000.0,
