,ts_code,trade_date,open,high,low,close,pct_chg,vol,hlc3,t_chg,ema_lower,ema,ema_upper,bandwidth,bandwidth_chg,percent,macd,histogram,signal,avgwidthratio30,avgwidthratio20,avgwidthratio10,avgwidthratio5,rsi,cci,volratio5,volratio10,volratio3,pirceratio5,pirceratio10,priceratio3,forcasting1,forcasting5,lineangle10,lineangle20,lineangle30
80,000960.SZ,20220208,20.8582,21.7522,20.5901,21.7025,4.4454,366051.92,21.348,4.048,18.585,21.259,23.933,25.159,-2.063,0.517,1.0,1.0,1.0,0.924,0.924,0.924,0.924,59.495,-32.438,0.924,0.838,1.049,1.028,0.984,1.038,1.474,5.734,-14.056,3.222,1.0
79,000960.SZ,20220209,21.5634,22.2091,21.2059,21.8813,0.8239,443835.01,21.765,1.474,18.873,21.307,23.741,22.848,-2.311,0.594,1.0,1.0,1.0,0.872,0.872,0.872,0.872,61.652,4.538,1.278,1.07,1.169,1.045,1.011,1.051,0.308,3.616,-10.301,1.349,1.0
78,000960.SZ,20220210,22.5666,22.9838,22.1991,22.6361,3.4495,398615.63,22.606,0.308,19.27,21.431,23.592,20.167,-2.68,0.772,1.0,1.0,1.0,0.804,0.804,0.804,0.804,65.646,70.218,1.073,0.952,1.066,1.078,1.053,1.063,2.16,3.395,-0.914,-0.114,1.0
77,000960.SZ,20220211,22.5368,23.689,22.3282,23.0235,1.7114,534184.96,23.014,2.16,19.607,21.582,23.556,18.298,-1.869,0.863,1.0,1.0,1.0,0.767,0.767,0.767,0.767,67.426,102.407,1.348,1.331,1.326,1.081,1.074,1.051,1.096,4.739,7.133,-1.052,1.0
76,000960.SZ,20220214,22.6461,23.4804,22.5567,22.8944,-0.5607,338784.98,22.977,1.096,19.851,21.715,23.578,17.166,-1.132,0.839,1.0,1.0,1.0,0.755,0.755,0.755,0.755,67.09,90.513,0.824,0.814,0.738,1.05,1.068,1.023,0.696,4.145,15.359,-1.703,1.0
75,000960.SZ,20220215,22.8447,23.1228,22.5766,23.0037,0.4774,274846.92,22.901,0.696,19.989,21.828,23.667,16.85,-0.316,0.792,1.0,1.0,1.0,0.773,0.773,0.773,0.813,66.339,86.555,0.66,0.677,0.648,1.025,1.063,1.002,-0.644,9.124,17.35,-1.909,1.0
74,000960.SZ,20220216,23.1427,23.5301,22.8646,22.9937,-0.0435,268563.7,23.129,-0.644,20.098,21.952,23.806,16.893,0.043,0.818,1.0,1.0,1.0,0.801,0.801,0.801,0.886,67.52,91.313,0.675,0.721,0.702,1.021,1.064,1.007,0.087,8.844,18.944,-0.294,1.0
73,000960.SZ,20220217,22.8447,23.2818,22.6461,22.8646,-0.5615,292598.09,22.931,0.087,20.229,22.045,23.861,16.476,-0.416,0.744,1.0,1.0,1.0,0.801,0.801,0.801,0.922,65.36,72.529,0.806,0.797,0.995,1.0,1.045,0.997,3.504,8.395,18.275,1.419,1.0
72,000960.SZ,20220218,22.9639,24.1161,22.954,23.7685,3.9533,389365.08,23.613,3.504,20.263,22.194,24.126,17.406,0.929,0.867,1.0,1.0,1.0,0.865,0.865,0.865,1.016,69.044,100.542,1.139,1.055,1.397,1.027,1.066,1.027,0.502,3.51,15.351,2.793,1.0
71,000960.SZ,20220221,23.7287,23.987,23.3414,23.8479,0.3341,276233.28,23.725,0.502,20.293,22.34,24.387,18.326,0.921,0.838,1.0,1.0,1.0,0.923,0.923,0.923,1.081,69.621,94.408,0.883,0.763,0.872,1.027,1.055,1.022,5.675,5.253,12.381,4.08,5.968
70,000960.SZ,20220222,23.6294,25.0795,23.5698,24.9703,4.7065,442423.13,24.54,5.675,20.287,22.55,24.812,20.063,1.737,0.94,1.0,1.0,1.0,1.018,1.018,1.058,1.167,73.498,134.498,1.473,1.235,1.385,1.055,1.076,1.048,-0.924,-3.039,12.271,6.569,5.841
69,000960.SZ,20220223,24.712,24.9306,24.1459,24.4836,-1.9491,373438.67,24.52,-0.924,20.281,22.737,25.193,21.604,1.541,0.863,1.0,1.0,1.0,1.094,1.094,1.171,1.211,73.251,134.047,1.119,1.02,1.011,1.04,1.061,1.023,-0.362,-0.361,11.505,8.376,5.602
68,000960.SZ,20220224,24.6922,25.4073,24.0764,24.6028,0.4869,456270.03,24.696,-0.362,20.286,22.924,25.561,23.009,1.405,0.836,1.0,1.0,1.0,1.157,1.157,1.256,1.226,74.084,127.74,1.286,1.271,1.253,1.035,1.056,1.018,-1.38,-1.057,12.507,10.702,5.272
67,000960.SZ,20220225,24.4637,24.8412,23.6393,24.126,-1.938,447889.94,24.202,-1.38,20.312,23.045,25.779,23.72,0.711,0.712,0.82,0.271,0.549,1.18,1.18,1.275,1.181,67.664,70.949,1.156,1.228,1.056,0.999,1.025,0.984,2.245,-3.605,12.135,11.797,4.836
66,000960.SZ,20220228,24.3346,24.9405,24.2055,24.8809,3.129,363721.95,24.676,2.245,20.324,23.201,26.077,24.795,1.075,0.756,0.854,0.244,0.61,1.219,1.219,1.295,1.162,70.337,99.91,0.911,1.022,0.854,1.014,1.04,1.008,-2.617,-5.769,12.255,13.345,4.723
65,000960.SZ,20220301,25.4272,25.5066,24.4439,24.7617,-0.4791,260619.43,24.904,-2.617,20.449,23.363,26.277,24.942,0.146,0.764,0.889,0.223,0.666,1.209,1.209,1.252,1.102,71.565,102.243,0.625,0.727,0.617,1.015,1.042,1.015,1.754,-0.41,11.651,13.571,4.904
64,000960.SZ,20220302,24.9107,25.4073,24.7319,25.3477,2.3666,315002.44,25.162,1.754,20.594,23.534,26.474,24.984,0.043,0.777,0.927,0.209,0.718,1.197,1.197,1.206,1.058,72.938,107.05,0.828,0.882,0.881,1.023,1.044,1.023,-1.058,-6.282,11.322,13.724,5.861
63,000960.SZ,20220303,25.3477,25.6556,25.0497,25.0795,-1.0581,220446.26,25.262,-1.058,20.796,23.699,26.601,24.496,-0.488,0.769,0.954,0.189,0.765,1.161,1.161,1.138,1.008,73.471,103.139,0.598,0.609,0.704,1.022,1.04,1.014,-3.929,-2.393,9.189,13.518,6.912
62,000960.SZ,20220304,25.0299,25.159,23.7585,24.0466,-4.1185,459668.48,24.321,-3.929,21.237,23.758,26.279,21.221,-3.276,0.612,0.89,0.099,0.79,0.997,0.997,0.95,0.863,61.114,4.339,1.43,1.297,1.732,0.979,0.991,0.969,0.08,6.385,5.1,11.501,7.171
61,000960.SZ,20220307,24.6326,24.9703,24.3743,24.6524,2.5193,358703.67,24.666,0.08,21.658,23.845,26.031,18.338,-2.883,0.688,0.856,0.053,0.804,0.862,0.862,0.807,0.761,63.546,35.639,1.107,0.992,1.081,0.992,1.003,0.99,2.742,1.73,1.972,9.865,7.477
60,000960.SZ,20220308,23.9075,26.0231,22.8447,24.5631,-0.3622,750936.21,24.477,2.742,21.998,23.905,25.812,15.955,-2.383,0.65,0.806,0.002,0.804,0.755,0.766,0.702,0.7,61.271,-8.292,2.326,2.031,2.169,0.984,0.991,0.989,-4.118,-9.338,0.7,8.33,7.946
59,000960.SZ,20220309,23.6393,24.0565,22.1097,22.6659,-7.7238,682710.28,22.944,-4.118,22.113,23.813,25.514,14.283,-1.672,0.244,0.634,-0.136,0.77,0.683,0.701,0.64,0.68,46.59,-246.336,1.622,1.704,1.305,0.926,0.929,0.937,2.831,-3.402,-5.38,5.65,7.598
58,000960.SZ,20220310,21.7522,22.7156,21.7522,22.368,-1.3143,435689.81,22.279,2.831,21.909,23.667,25.425,14.856,0.573,0.105,0.44,-0.264,0.704,0.721,0.745,0.689,0.788,41.872,-244.54,0.881,1.009,0.729,0.916,0.908,0.927,4.85,-6.905,-11.643,3.059,7.248
57,000960.SZ,20220311,22.1197,23.4109,21.6826,23.1924,3.6856,400633.71,22.762,4.85,21.793,23.581,25.369,15.163,0.308,0.271,0.321,-0.307,0.627,0.744,0.77,0.73,0.896,46.162,-134.605,0.745,0.933,0.643,0.959,0.937,0.98,-4.575,-6.937,-16.445,1.247,6.789
56,000960.SZ,20220314,22.7951,22.9639,21.7522,21.7522,-6.2098,406410.82,22.156,-4.575,21.538,23.445,25.353,16.272,1.109,0.162,0.176,-0.361,0.537,0.807,0.833,0.818,1.035,41.957,-135.643,0.773,0.957,0.803,0.946,0.918,0.978,-8.326,-3.141,-20.219,-1.074,6.21
55,000960.SZ,20220315,21.3549,21.3549,19.5769,19.5769,-10.0004,559423.9,20.17,-8.326,20.655,23.133,25.611,21.424,5.151,-0.098,-0.099,-0.508,0.41,1.07,1.1,1.125,1.4,31.7,-187.369,1.045,1.304,1.35,0.88,0.844,0.9,1.818,6.305,-26.749,-5.007,4.308
54,000960.SZ,20220316,20.2126,20.7887,19.3982,20.5801,5.1244,438203.05,20.256,1.818,19.956,22.859,25.763,25.404,3.98,0.052,-0.305,-0.572,0.267,1.266,1.289,1.359,1.549,32.475,-139.076,0.882,0.955,0.962,0.918,0.865,0.934,-0.671,3.336,-29.268,-8.392,2.47
53,000960.SZ,20220317,20.7092,20.9675,20.2623,20.5702,-0.0481,335183.94,20.6,-0.671,19.466,22.644,25.822,28.068,2.664,0.178,-0.436,-0.563,0.126,1.385,1.394,1.498,1.507,35.639,-103.57,0.748,0.711,0.716,0.957,0.898,0.988,4.817,4.637,-28.013,-11.384,0.729
52,000960.SZ,20220318,20.4113,21.5734,20.3715,21.3946,4.0077,296842.39,21.113,4.817,19.156,22.498,25.84,29.71,1.642,0.293,-0.493,-0.496,0.002,1.447,1.434,1.556,1.397,40.166,-71.325,0.694,0.615,0.668,0.996,0.94,1.038,-0.78,-1.917,-25.722,-13.146,-1.147
51,000960.SZ,20220321,21.6628,22.0601,21.2555,21.4939,0.4641,232875.36,21.603,-0.78,18.989,22.413,25.837,30.555,0.845,0.382,-0.493,-0.396,-0.097,1.466,1.432,1.532,1.264,44.225,-41.807,0.572,0.499,0.653,1.036,0.976,1.046,1.12,0.575,-18.927,-14.21,-2.646
50,000960.SZ,20220322,21.2853,21.7522,21.0172,21.5237,0.1386,180073.07,21.431,1.12,18.859,22.319,25.78,31.011,0.455,0.372,-0.501,-0.323,-0.178,1.48,1.413,1.465,1.147,43.112,-41.525,0.483,0.397,0.625,1.033,0.981,1.015,-1.15,-0.176,-10.698,-14.537,-3.958
49,000960.SZ,20220323,21.5833,21.6032,21.1165,21.335,-0.8767,169438.84,21.352,-1.15,18.749,22.227,25.705,31.295,0.285,0.374,-0.508,-0.264,-0.244,1.48,1.391,1.38,1.081,42.576,-37.244,0.571,0.427,0.716,1.017,0.992,0.999,0.63,0.56,-5.968,-14.69,-5.135
48,000960.SZ,20220324,22.0799,22.4872,21.5734,22.219,4.1434,359191.69,22.093,0.63,18.813,22.215,25.616,30.621,-0.674,0.482,-0.448,-0.164,-0.285,1.429,1.333,1.256,1.016,48.986,22.14,1.479,1.04,1.85,1.041,1.034,1.029,-1.737,-2.448,-0.274,-13.868,-5.697
47,000960.SZ,20220325,21.7323,22.0005,21.335,21.3549,-3.889,236018.24,21.563,-1.737,18.771,22.153,25.534,30.528,-0.093,0.413,-0.439,-0.123,-0.315,1.402,1.307,1.176,0.996,45.091,0.026,0.953,0.699,0.999,1.002,1.01,0.997,1.712,2.493,5.743,-13.661,-6.279
