,001965.SZ,20220526,7.4,7.87,7.37,7.81,5.9701,153546.41,7.68,7.66,7.37,7.07,4.03,57.71,5.92,0.68,2.6,crossOverSMA,https://gu.qq.com/sh600548/gp
1,002978.SZ,20220526,31.75,31.84,30.43,31.32,-1.1987,15419.0,31.2,33.28,31.31,29.35,6.27,39.03,10.64,0.59,0.62,other,https://gu.qq.com/sh600548/gp
2,002531.SZ,20220526,12.74,13.58,12.53,13.21,3.2838,800548.5,13.11,13.15,10.86,8.56,21.15,64.41,20.82,1.02,0.77,other,https://gu.qq.com/sh600548/gp
3,002080.SZ,20220526,21.9,22.21,21.38,21.93,0.0456,124200.32,21.84,22.89,21.03,19.17,8.85,49.29,10.22,0.87,0.57,other,https://gu.qq.com/sh600548/gp
4,002027.SZ,20220526,5.6,5.9,5.56,5.84,4.2857,2330236.67,5.77,6.0,5.65,5.31,6.12,49.45,7.64,0.8,1.35,crossOverSMA,https://gu.qq.com/sh600548/gp
5,002001.SZ,20220526,20.64,20.7,20.08,20.55,-0.436,219491.44,20.44,21.94,21.12,20.31,3.85,34.49,8.44,0.46,0.58,other,https://gu.qq.com/sh600548/gp
6,000935.SZ,20220526,20.59,20.79,20.3,20.51,0.3425,31597.6,20.53,21.88,19.15,16.42,14.27,59.93,17.94,0.8,0.58,other,https://gu.qq.com/sh600548/gp
7,000877.SZ,20220526,11.93,12.2,11.91,12.15,2.0151,128183.96,12.09,12.45,12.13,11.81,2.65,42.97,3.79,0.7,0.96,other,https://gu.qq.com/sh600548/gp
8,000785.SZ,20220526,4.17,4.26,4.14,4.19,1.4528,97572.0,4.2,4.17,3.96,3.76,5.21,55.66,9.15,0.57,0.66,other,https://gu.qq.com/sh600548/gp
9,000776.SZ,20220526,16.57,17.25,16.41,17.01,2.2236,696677.38,16.89,16.96,15.85,14.73,7.04,56.72,7.74,0.91,0.77,other,https://gu.qq.com/sh600548/gp
10,603977.SH,20220526,8.38,8.7,8.24,8.56,2.3923,74869.52,8.5,8.72,8.35,7.99,4.37,47.74,8.37,0.52,0.82,other,https://gu.qq.com/sh600548/gp
11,603568.SH,20220526,27.95,28.2,27.41,27.6,-0.8264,29806.19,27.74,29.97,26.73,23.48,12.13,53.29,15.54,0.78,0.84,other,https://gu.qq.com/sh600548/gp
12,603260.SH,20220526,96.4,96.7,92.5,94.17,-2.3133,95443.26,94.46,98.14,84.86,71.57,15.65,54.93,15.65,1.0,0.5,other,https://gu.qq.com/sh600548/gp
13,603258.SH,20220526,20.15,20.49,19.7,20.37,2.568,22174.67,20.19,21.25,20.02,18.79,6.12,42.99,10.75,0.57,1.19,crossOverSMA,https://gu.qq.com/sh600548/gp
14,601919.SH,20220526,15.09,15.23,14.87,15.12,-0.4608,1001857.63,15.07,15.22,14.41,13.59,5.64,54.29,6.16,0.92,0.57,other,https://gu.qq.com/sh600548/gp
15,601918.SH,20220526,5.31,5.52,5.28,5.46,2.2472,742527.85,5.42,5.29,4.78,4.27,10.7,62.8,11.83,0.9,0.91,other,https://gu.qq.com/sh600548/gp
16,601717.SH,20220526,12.44,13.0,12.44,12.72,4.2623,378992.24,12.72,12.7,11.96,11.21,6.2,57.94,7.32,0.85,2.09,other,https://gu.qq.com/sh600548/gp
17,601512.SH,20220526,8.91,9.06,8.85,9.04,1.9166,49455.86,8.98,9.41,8.89,8.36,5.95,50.68,7.98,0.74,0.91,crossOverSMA,https://gu.qq.com/sh600548/gp
18,601377.SH,20220526,6.14,6.31,6.08,6.25,2.1242,694730.74,6.21,6.35,6.21,6.08,2.21,37.18,5.62,0.39,1.16,other,https://gu.qq.com/sh600548/gp
19,601101.SH,20220526,8.87,9.69,8.84,9.69,9.9886,943884.64,9.41,8.92,8.13,7.34,9.74,61.86,12.62,0.77,2.29,other,https://gu.qq.com/sh600548/gp
20,600989.SH,20220526,14.49,14.68,14.12,14.6,0.7591,123603.85,14.47,15.2,14.02,12.85,8.37,50.57,10.23,0.82,0.47,other,https://gu.qq.com/sh600548/gp
21,600596.SH,20220526,17.9,18.24,17.42,17.95,-0.0557,395495.87,17.87,18.55,17.69,16.84,4.84,46.41,8.0,0.61,0.62,other,https://gu.qq.com/sh600548/gp
22,600426.SH,20220526,29.6,29.61,28.75,29.29,-0.7791,166976.14,29.22,31.39,29.96,28.53,4.77,39.71,6.18,0.77,0.72,other,https://gu.qq.com/sh600548/gp
23,600176.SH,20220526,15.76,15.76,15.33,15.52,-0.8307,279204.0,15.54,16.12,15.45,14.78,4.33,51.09,6.93,0.62,0.74,other,https://gu.qq.com/sh600548/gp
24,600030.SH,20220526,19.33,19.75,19.21,19.62,1.6054,660404.47,19.53,19.78,19.2,18.61,3.05,47.43,4.17,0.73,0.86,other,https://gu.qq.com/sh600548/gp
25,601636.SH,20220526,10.8968,11.13,10.7849,11.13,2.053,354592.09,11.01,11.11,10.3,9.48,7.9,54.33,7.97,0.99,0.67,other,https://gu.qq.com/sh600548/gp
26,002818.SZ,20220526,11.7,11.82,11.52,11.8,0.8547,26020.8,11.71,12.21,11.59,10.97,5.35,54.59,6.65,0.8,0.79,other,https://gu.qq.com/sh600548/gp
27,002677.SZ,20220526,13.45,13.6,13.3,13.51,0.4461,21949.49,13.47,13.91,13.43,12.95,3.59,48.75,4.41,0.81,0.69,other,https://gu.qq.com/sh600548/gp
28,002315.SZ,20220526,14.44,14.49,13.91,14.33,-0.3477,53467.4,14.24,16.94,14.57,12.2,16.27,45.57,20.96,0.78,0.33,other,https://gu.qq.com/sh600548/gp
29,603882.SH,20220526,81.31,81.31,77.5,78.6,-3.4991,54253.47,79.14,89.88,82.13,74.38,9.44,46.99,15.14,0.62,1.32,other,https://gu.qq.com/sh600548/gp
30,002466.SZ,20220526,97.53,98.58,94.56,97.0,-0.5332,482139.54,96.71,100.81,82.28,63.75,22.52,71.75,26.26,0.86,0.56,other,https://gu.qq.com/sh600548/gp
31,600010.SH,20220526,2.03,2.04,1.96,2.01,-0.9852,6690839.73,2.0,2.03,1.89,1.75,7.37,51.19,9.15,0.81,0.7,other,https://gu.qq.com/sh600548/gp
32,600170.SH,20220526,3.05,3.09,3.04,3.08,1.3158,655383.15,3.07,3.23,3.11,2.99,3.86,44.24,4.7,0.82,0.99,other,https://gu.qq.com/sh600548/gp
33,600282.SH,20220526,3.19,3.24,3.17,3.22,0.625,275010.05,3.21,3.31,3.21,3.11,3.12,45.22,4.98,0.63,0.63,other,https://gu.qq.com/sh600548/gp
34,000629.SZ,20220526,3.3,3.36,3.23,3.34,1.2121,476610.36,3.31,3.39,3.16,2.94,7.07,48.34,9.77,0.72,0.65,other,https://gu.qq.com/sh600548/gp
35,000630.SZ,20220526,3.18,3.24,3.15,3.22,0.625,1459628.5,3.2,3.35,3.21,3.06,4.53,43.01,9.43,0.48,0.55,other,https://gu.qq.com/sh600548/gp
36,600219.SH,20220526,3.43,3.45,3.37,3.44,0.8798,631723.94,3.42,3.5,3.27,3.04,7.08,47.38,9.03,0.78,0.46,other,https://gu.qq.com/sh600548/gp
37,002392.SZ,20220526,3.5,3.54,3.43,3.52,1.1494,96216.53,3.5,3.54,3.43,3.33,3.07,40.96,10.07,0.3,0.57,other,https://gu.qq.com/sh600548/gp
38,601618.SH,20220526,3.51,3.56,3.49,3.53,1.1461,935562.84,3.53,3.58,3.46,3.34,3.43,49.46,4.71,0.73,1.05,other,https://gu.qq.com/sh600548/gp
39,000725.SZ,20220526,3.89,3.94,3.86,3.93,1.2887,2628325.47,3.91,3.94,3.8,3.67,3.58,49.35,4.95,0.72,0.78,other,https://gu.qq.com/sh600548/gp
40,000656.SZ,20220526,3.16,3.33,3.15,3.28,2.8213,2698099.79,3.25,4.56,3.93,3.3,16.01,32.06,14.02,1.14,0.63,other,https://gu.qq.com/sh600548/gp
41,000552.SZ,20220526,4.25,4.41,4.21,4.37,3.3097,1059747.42,4.33,4.44,3.96,3.48,12.13,63.73,13.54,0.9,1.1,other,https://gu.qq.com/sh600548/gp
42,601003.SH,20220526,4.17,4.27,4.12,4.23,1.6827,97595.15,4.21,4.79,4.3,3.8,11.55,34.97,21.21,0.54,0.75,other,https://gu.qq.com/sh600548/gp
43,601016.SH,20220526,4.4101,4.4595,4.331,4.4101,0.451,634754.8,4.4,4.54,4.18,3.81,8.82,55.14,10.14,0.87,0.61,other,https://gu.qq.com/sh600548/gp
44,000035.SZ,20220526,4.49,4.56,4.44,4.51,2.0362,147956.99,4.5,4.51,4.27,4.02,5.77,51.92,8.09,0.71,1.27,other,https://gu.qq.com/sh600548/gp
45,002084.SZ,20220526,3.75,3.82,3.7,3.8,0.5291,58343.01,3.77,4.14,3.75,3.36,10.38,42.05,13.53,0.77,0.48,other,https://gu.qq.com/sh600548/gp
46,000959.SZ,20220526,4.38,4.46,4.33,4.44,1.3699,272949.8,4.41,4.79,4.45,4.12,7.44,37.52,15.19,0.49,0.74,other,https://gu.qq.com/sh600548/gp
47,002641.SZ,20220526,4.55,4.58,4.49,4.57,0.883,78207.7,4.55,4.76,4.42,4.08,7.72,48.81,9.57,0.81,0.61,other,https://gu.qq.com/sh600548/gp
48,603993.SH,20220526,4.72,4.78,4.62,4.76,1.0616,1241379.16,4.72,4.74,4.54,4.35,4.19,48.97,7.58,0.55,0.71,other,https://gu.qq.com/sh600548/gp
49,002602.SZ,20220526,4.66,4.68,4.54,4.67,1.3015,456097.02,4.63,4.71,4.59,4.46,2.64,38.58,8.57,0.31,0.72,crossOverSMA,https://gu.qq.com/sh600548/gp
50,601600.SH,20220526,5.0,5.1,4.86,5.02,1.006,1727147.14,4.99,5.06,4.68,4.31,8.01,50.61,11.61,0.69,0.63,other,https://gu.qq.com/sh600548/gp
51,002272.SZ,20220526,4.78,4.85,4.7,4.81,0.8386,47409.01,4.79,4.82,4.49,4.15,7.54,54.49,9.28,0.81,0.77,other,https://gu.qq.com/sh600548/gp
52,600496.SH,20220526,4.36,4.52,4.36,4.44,2.5404,377305.02,4.44,4.68,4.35,4.03,7.43,50.09,10.17,0.73,1.31,crossOverSMA,https://gu.qq.com/sh600548/gp
53,002085.SZ,20220526,4.88,4.95,4.79,4.89,0.0,158606.15,4.88,5.35,4.44,3.54,20.3,68.44,25.2,0.81,0.73,other,https://gu.qq.com/sh600548/gp
54,600577.SH,20220526,4.7,4.74,4.57,4.67,-0.4264,325728.24,4.66,5.13,4.56,4.0,12.38,46.06,14.82,0.84,0.47,other,https://gu.qq.com/sh600548/gp
55,002390.SZ,20220526,4.8,4.82,4.69,4.79,0.2092,143395.28,4.77,4.96,4.69,4.42,5.79,45.12,7.58,0.76,0.56,other,https://gu.qq.com/sh600548/gp
56,600210.SH,20220526,5.53,5.88,5.34,5.86,5.5856,1556703.52,5.69,5.71,4.96,4.21,15.11,60.22,14.26,1.06,1.4,other,https://gu.qq.com/sh600548/gp
57,600986.SH,20220526,5.07,5.2,4.99,5.2,2.9703,593253.26,5.13,5.16,4.89,4.61,5.65,49.6,8.54,0.66,1.04,other,https://gu.qq.com/sh600548/gp
58,002314.SZ,20220526,4.58,4.81,4.55,4.66,0.6479,998542.02,4.67,5.07,4.57,4.07,10.92,51.67,14.96,0.73,0.87,other,https://gu.qq.com/sh600548/gp
59,002839.SZ,20220526,4.86,4.9,4.84,4.9,0.616,245764.57,4.88,5.12,4.96,4.79,3.33,41.82,5.97,0.56,0.67,other,https://gu.qq.com/sh600548/gp
60,002627.SZ,20220526,5.49,5.85,5.44,5.7,4.0146,356304.93,5.66,5.48,4.98,4.47,10.12,59.93,11.31,0.9,1.1,other,https://gu.qq.com/sh600548/gp
61,000425.SZ,20220526,5.3,5.59,5.27,5.58,5.8824,1467203.24,5.48,5.32,5.04,4.75,5.71,69.2,5.58,1.02,2.75,other,https://gu.qq.com/sh600548/gp
62,600901.SH,20220526,5.21,5.26,5.19,5.23,0.7707,179375.0,5.23,5.33,5.1,4.87,4.47,60.29,5.15,0.87,0.81,other,https://gu.qq.com/sh600548/gp
63,002697.SZ,20220526,4.73,4.81,4.69,4.75,1.0638,163542.14,4.75,5.12,4.9,4.68,4.55,40.49,5.77,0.79,0.54,other,https://gu.qq.com/sh600548/gp
64,000598.SZ,20220526,5.1,5.16,5.07,5.15,0.7828,197246.27,5.13,5.28,5.04,4.8,4.72,54.01,6.7,0.7,1.0,other,https://gu.qq.com/sh600548/gp
65,002517.SZ,20220526,5.36,5.4,5.28,5.39,0.5597,248852.98,5.36,5.74,4.97,4.2,15.54,64.6,19.63,0.79,0.54,other,https://gu.qq.com/sh600548/gp
66,600398.SH,20220526,5.02,5.08,4.99,5.08,1.6,106645.29,5.05,5.23,5.08,4.92,3.0,42.95,3.82,0.79,0.64,other,https://gu.qq.com/sh600548/gp
67,603323.SH,20220526,4.95,5.04,4.95,5.01,0.8048,201845.32,5.0,5.42,5.17,4.92,4.8,38.49,6.39,0.75,0.73,other,https://gu.qq.com/sh600548/gp
68,601658.SH,20220526,5.29,5.38,5.26,5.36,1.3233,976849.04,5.33,5.51,5.32,5.14,3.45,48.65,4.71,0.73,0.61,crossOverSMA,https://gu.qq.com/sh600548/gp
69,002822.SZ,20220526,5.91,5.98,5.58,5.59,-1.5845,812233.39,5.72,5.66,5.2,4.73,8.93,55.54,10.37,0.86,1.94,other,https://gu.qq.com/sh600548/gp
70,600642.SH,20220526,5.56,5.61,5.51,5.57,0.7233,118684.44,5.56,5.63,5.45,5.26,3.35,49.36,4.2,0.8,0.84,other,https://gu.qq.com/sh600548/gp
71,000825.SZ,20220526,5.57,5.77,5.51,5.74,3.4234,628777.03,5.67,5.88,5.62,5.37,4.61,42.51,11.94,0.39,1.02,crossOverSMA,https://gu.qq.com/sh600548/gp
72,002563.SZ,20220526,5.55,5.65,5.49,5.65,1.9856,95862.22,5.6,5.84,5.66,5.48,3.14,41.89,6.34,0.5,0.84,other,https://gu.qq.com/sh600548/gp
73,600908.SH,20220526,5.49,5.55,5.47,5.55,1.0929,102178.35,5.52,5.79,5.62,5.46,2.93,41.4,3.61,0.81,0.6,other,https://gu.qq.com/sh600548/gp
74,600248.SH,20220526,5.19,5.71,5.17,5.71,10.0193,1539247.93,5.53,5.79,5.42,5.04,6.91,52.38,9.89,0.7,2.87,crossOverSMA,https://gu.qq.com/sh600548/gp
75,600581.SH,20220526,5.79,5.92,5.69,5.83,1.9231,541468.78,5.81,5.99,5.71,5.42,5.02,46.7,13.52,0.37,0.66,crossOverSMA,https://gu.qq.com/sh600548/gp
76,600662.SH,20220526,5.81,6.27,5.66,6.02,5.614,277434.81,5.98,6.01,5.57,5.13,7.97,56.05,12.58,0.63,3.13,other,https://gu.qq.com/sh600548/gp
77,002283.SZ,20220526,6.1,6.14,5.94,6.05,-1.1438,85070.0,6.04,6.33,5.67,5.02,11.53,47.36,14.02,0.82,0.53,other,https://gu.qq.com/sh600548/gp
78,000012.SZ,20220526,6.04,6.11,5.91,6.06,0.6645,319518.23,6.03,6.17,5.83,5.49,5.81,43.87,8.56,0.68,0.49,other,https://gu.qq.com/sh600548/gp
79,000728.SZ,20220526,5.62,5.79,5.59,5.72,1.9608,271451.38,5.7,5.9,5.68,5.46,3.85,37.6,14.34,0.27,0.96,crossOverSMA,https://gu.qq.com/sh600548/gp
80,601515.SH,20220526,4.41,4.42,4.31,4.39,-0.2273,120565.52,4.37,5.03,4.57,4.12,9.91,34.72,13.79,0.72,0.52,other,https://gu.qq.com/sh600548/gp
81,603601.SH,20220526,5.71,5.8,5.62,5.75,0.1742,19347.8,5.72,6.11,5.69,5.27,7.38,43.79,9.16,0.81,0.49,other,https://gu.qq.com/sh600548/gp
82,000069.SZ,20220526,5.63,5.82,5.62,5.75,2.1314,702816.62,5.73,6.13,5.81,5.48,5.6,39.09,12.58,0.45,0.91,other,https://gu.qq.com/sh600548/gp
83,600586.SH,20220526,6.39,6.42,6.25,6.37,-0.313,148921.03,6.35,6.51,5.95,5.39,9.38,48.88,11.18,0.84,0.5,other,https://gu.qq.com/sh600548/gp
84,601668.SH,20220526,5.67,5.76,5.66,5.69,0.708,2167719.58,5.7,6.16,5.89,5.62,4.6,45.06,4.88,0.94,0.79,other,https://gu.qq.com/sh600548/gp
85,600643.SH,20220526,5.97,6.09,5.94,6.08,1.8425,83500.35,6.04,6.14,5.95,5.76,3.19,47.34,4.57,0.7,1.0,other,https://gu.qq.com/sh600548/gp
86,600820.SH,20220526,5.78,6.03,5.73,5.97,3.4662,708087.92,5.91,6.08,5.78,5.48,5.14,59.6,8.79,0.58,1.37,crossOverSMA,https://gu.qq.com/sh600548/gp
87,002097.SZ,20220526,6.12,6.28,6.06,6.27,2.451,111912.02,6.2,6.42,6.12,5.82,4.92,41.03,10.09,0.49,1.24,crossOverSMA,https://gu.qq.com/sh600548/gp
88,000059.SZ,20220526,6.19,6.34,6.1,6.33,2.9268,156331.72,6.26,6.24,6.01,5.78,3.87,53.37,6.34,0.61,1.33,other,https://gu.qq.com/sh600548/gp
