,ts_code,trade_date,open,high,low,close,pct_chg,vol,hlc3,t_chg,ema_lower,ema,ema_upper,bandwidth,bandwidth_chg,percent,macd,histogram,signal,avgwidthratio30,avgwidthratio20,avgwidthratio10,avgwidthratio5,rsi,cci,volratio5,volratio10,volratio3,pirceratio5,pirceratio10,priceratio3,forcasting1,forcasting5
0,600409.SH,20220609,8.73,8.94,8.43,8.55,-1.0417,709831.38,8.64,-2.062,6.044,7.437,8.83,37.458,2.771,0.932,0.358,0.222,0.136,1.191,1.164,1.577,1.322,80.589,153.496,1.12,1.319,0.987,1.103,1.16,1.078,0.0,0.0
1,600409.SH,20220608,8.13,8.87,8.1,8.64,6.7985,1058089.07,8.537,6.273,6.043,7.311,8.578,34.688,3.054,0.984,0.292,0.211,0.081,1.133,1.061,1.527,1.331,79.66,179.685,1.963,2.254,1.807,1.118,1.169,1.1,855.0,-206.186
2,600409.SH,20220607,8.01,8.33,8.0,8.09,1.6332,608657.74,8.14,0.999,6.046,7.181,8.317,31.634,2.577,0.922,0.214,0.186,0.028,1.059,0.95,1.408,1.322,75.506,155.99,1.136,1.294,1.14,1.088,1.133,1.073,1719.0,421.121
3,600409.SH,20220606,7.57,8.13,7.5,7.96,4.5992,757488.6,7.863,5.152,6.052,7.081,8.109,29.057,2.386,0.88,0.152,0.171,-0.019,0.995,0.858,1.262,1.33,71.797,140.664,1.586,1.78,1.622,1.074,1.114,1.055,1673.0,520.996
4,600409.SH,20220602,7.44,7.66,7.3,7.61,1.1968,451655.24,7.523,2.285,6.065,6.998,7.931,26.67,1.637,0.781,0.099,0.16,-0.061,0.932,0.774,1.106,1.332,65.95,110.449,1.012,1.118,0.901,1.046,1.08,1.02,1605.0,1036.187
5,600409.SH,20220601,7.37,7.69,7.35,7.52,1.897,523846.48,7.52,2.035,6.074,6.943,7.812,25.033,2.052,0.832,0.064,0.165,-0.101,0.892,0.715,0.972,1.316,65.886,136.195,1.248,1.386,1.108,1.065,1.095,1.041,1557.0,1264.682
6,600409.SH,20220531,7.5,7.6,7.3,7.38,-0.4049,402158.12,7.427,-1.6,6.091,6.882,7.673,22.981,1.945,0.844,0.019,0.161,-0.142,0.834,0.649,0.822,1.205,64.143,147.514,0.998,1.075,0.919,1.064,1.094,1.054,1513.0,1468.21
7,600409.SH,20220530,7.34,7.47,7.17,7.41,2.2069,489866.37,7.35,0.954,6.107,6.825,7.543,21.036,2.253,0.866,-0.03,0.153,-0.183,0.772,0.591,0.689,1.031,62.699,162.323,1.152,1.311,1.205,1.066,1.095,1.066,1490.0,1514.395
8,600409.SH,20220527,7.0408,7.3508,7.0008,7.2508,3.571,589752.77,7.201,2.983,6.134,6.77,7.405,18.783,2.236,0.839,-0.083,0.137,-0.221,0.693,0.529,0.562,0.812,59.789,156.728,1.591,1.713,1.761,1.064,1.088,1.054,1479.0,982.457
9,600409.SH,20220526,6.7908,7.0808,6.6707,7.0008,3.0924,408631.76,6.917,3.092,6.168,6.724,7.28,16.548,0.801,0.674,-0.135,0.12,-0.255,0.61,0.47,0.454,0.617,53.418,111.09,1.209,1.177,1.053,1.032,1.055,1.016,1466.08,1180.843
